commodity,pred_next_month_price,cluster
Beras Kualitas Bawah II,14309.7822265625,0
Beras Kualitas Bawah I,14636.287109375,0
Beras Kualitas Medium II,15671.8515625,0
Beras,15752.5498046875,0
Beras Kualitas Medium I,15876.4853515625,0
Beras Kualitas Super II,16598.310546875,0
Beras Kualitas Super I,17135.564453125,0
Minyak Goreng Curah,18795.138671875,0
Minyak Goreng,21082.52734375,0
Minyak Goreng Kemasan Bermerk 2,21628.662109375,0
Minyak Goreng Kemasan Bermerk 1,22396.466796875,0
Telur Ayam,30297.703125,2
Telur Ayam Ras Segar,30298.740234375,2
Daging Ayam Ras Segar,37039.7578125,2
Daging Ayam,37063.1953125,2
